sample-id	sequencing_platform	genotype	compartment	genotype_compartment
NTC	miseq	NTC	NTC	NTC
z101	miseq	Col-7	total	Col-7_total
z102	miseq	Col-7	total	Col-7_total
z103	miseq	Col-7	total	Col-7_total
z104	miseq	Col-7	total	Col-7_total
z105	miseq	Col-7	total	Col-7_total
z106	miseq	Col-7	total	Col-7_total
z107	miseq	Col-7	total	Col-7_total
z108	miseq	Col-7	total	Col-7_total
z109	miseq	Col-7	total	Col-7_total
z110	miseq	Col-7	total	Col-7_total
z111	miseq	Col-7	total	Col-7_total
z112	miseq	Col-7	total	Col-7_total
z113	miseq	Col-7	total	Col-7_total
z114	miseq	Col-7	total	Col-7_total
z115	miseq	Col-7	total	Col-7_total
z116	miseq	Col-7	total	Col-7_total
z117	miseq	Col-7	total	Col-7_total
z118	miseq	Col-7	total	Col-7_total
z119	miseq	Col-7	total	Col-7_total
z120	miseq	Col-7	total	Col-7_total
z121	miseq	scord7	total	scord7_total
z122	miseq	scord7	total	scord7_total
z123	miseq	scord7	total	scord7_total
z124	miseq	scord7	total	scord7_total
z125	miseq	scord7	total	scord7_total
z126	miseq	scord7	total	scord7_total
z127	miseq	scord7	total	scord7_total
z128	miseq	scord7	total	scord7_total
z129	miseq	scord7	total	scord7_total
z130	miseq	scord7	total	scord7_total
z131	miseq	scord7	total	scord7_total
z132	miseq	scord7	total	scord7_total
z133	miseq	scord7	total	scord7_total
z134	miseq	scord7	total	scord7_total
z135	miseq	scord7	total	scord7_total
z136	miseq	scord7	total	scord7_total
z137	miseq	scord7	total	scord7_total
z138	miseq	scord7	total	scord7_total
z139	miseq	scord7	total	scord7_total
z140	miseq	scord7	total	scord7_total
z141	miseq	scord5	total	scord5_total
z142	miseq	scord5	total	scord5_total
z143	miseq	scord5	total	scord5_total
z144	miseq	scord5	total	scord5_total
z145	miseq	scord5	total	scord5_total
z146	miseq	scord5	total	scord5_total
z147	miseq	scord5	total	scord5_total
z148	miseq	scord5	total	scord5_total
z149	miseq	scord5	total	scord5_total
z150	miseq	scord5	total	scord5_total
z151	miseq	scord5	total	scord5_total
z152	miseq	scord5	total	scord5_total
z153	miseq	scord5	total	scord5_total
z154	miseq	scord5	total	scord5_total
z155	miseq	scord5	total	scord5_total
z156	miseq	scord5	total	scord5_total
z157	miseq	scord5	total	scord5_total
z158	miseq	scord5	total	scord5_total
z159	miseq	scord5	total	scord5_total
z160	miseq	scord5	total	scord5_total
z164	miseq	Ler	total	Ler_total
z165	miseq	Ler	total	Ler_total
z166	miseq	Ler	total	Ler_total
z167	miseq	Ler	total	Ler_total
z168	miseq	Ler	total	Ler_total
z169	miseq	Ler	total	Ler_total
z170	miseq	Ler	total	Ler_total
z171	miseq	Ler	total	Ler_total
z172	miseq	Ler	total	Ler_total
z173	miseq	Ler	total	Ler_total
z174	miseq	Ler	total	Ler_total
z175	miseq	Ler	total	Ler_total
z176	miseq	Ler	total	Ler_total
z177	miseq	Ler	total	Ler_total
z178	miseq	Ler	total	Ler_total
z179	miseq	Ler	total	Ler_total
z180	miseq	Ler	total	Ler_total
z181	miseq	ost1-2	total	ost1-2_total
z182	miseq	ost1-2	total	ost1-2_total
z183	miseq	ost1-2	total	ost1-2_total
z184	miseq	ost1-2	total	ost1-2_total
z185	miseq	ost1-2	total	ost1-2_total
z186	miseq	ost1-2	total	ost1-2_total
z187	miseq	ost1-2	total	ost1-2_total
z188	miseq	ost1-2	total	ost1-2_total
z189	miseq	ost1-2	total	ost1-2_total
z190	miseq	ost1-2	total	ost1-2_total
z191	miseq	ost1-2	total	ost1-2_total
z192	miseq	ost1-2	total	ost1-2_total
z193	miseq	ost1-2	total	ost1-2_total
z194	miseq	ost1-2	total	ost1-2_total
z195	miseq	ost1-2	total	ost1-2_total
z196	miseq	ost1-2	total	ost1-2_total
z197	miseq	ost1-2	total	ost1-2_total
z198	miseq	ost1-2	total	ost1-2_total
z199	miseq	ost1-2	total	ost1-2_total
z200	miseq	ost1-2	total	ost1-2_total
